Commune; Adopté en; Valable jusqu'en;Impôt rentrée argent; Impôt spécial affecté; Pour-cent total; Immeubles; Constr. non immatric. registre foncier; Impôt personnel fixe; Ventes, cessions, etc.; Ligne directe ascendante; Ligne directe descendante; Ligne collatérale; Entre non-parents; Impôt compl. s/immeubles soc. et fond.; * Chiens; * Impôt sur les divertissements
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
DISTRICT D'AIGLE;;;;;;;;;;;;;;;;
Fey;2025;2026;75; -   ;75;1; - ; - ;50; - ; - ;100;100;50;75; -   
Froideville;2025;2026;72; - ;72;1.25;0.5;-;50;-;-;100;100;50;75; -   
Goumoëns;2025;2026;75.5; - ;75.5;1; - ;-;50;20;20;50;100;50;100; -   
Jorat-Menthue;2025;2026;70.5; - ;70.5;1;0.5;-;50;50;50;100;100;50;150; -   
Lussery-Villars;2025;2026;75; - ;75;1;0.5;-;50;30;30;50;100;50;60; -   
Mex;2025;2026;59.5; -   ;59.5;1;0.5; - ;50;50; - ;50;100;50;60; -   
Montanaire;2024;2026;70; - ;70;1; - ;-;50;-;-;100;100;50;100; -   
Montilliez;2025;2026;72.5; - ;72.5;0.8; - ;-;50;20;20;100;100;50;1.0p/Fr; -   
Morrens;2025;2026;74; - ;74;1;0.5;-;50;-;-;100;100;50;100; -   
Ogens;2025;2026;76; -   ;76;1.5; - ; - ;50;50;50;100;100;50; 0.5p/Fr ; -   
Oppens;2025;2027;79; -   ;79;1; - ; - ;50;30;30;50;100; - ;90;10
Oulens-sous-Echallens;2025;2026;71; - ;71;1;0.5;-;50;-;-;100;100;50;120; -   
Pailly;2025;2026;76; -   ;76;1.2; - ; - ;50;50;50;100;100;50;60; -   
Penthalaz;2025;2026;72.5; - ;72.5;1;0.5;-;50;60;60;100;100;50;60; -   
Penthaz;2025;2026;69.5; -   ;69.5;1;0.5; - ;50;70;50;70;100;50; 1.0p/Fr ; -   
Penthéréaz;2025;2026;74; -   ;74;1; - ; - ;50; - ; - ; - ; - ;50; 1.0p/Fr ; -   
Poliez-Pittet;2025;2026;73; - ;73;1; - ;-;50;50;50;100;100;50;100;5
Rueyres;2024;2026;73; -   ;73;1;0.5; - ;50; - ; - ;100;100;50;100; -   
Saint-Barthélemy (VD);2025;2026;77; - ;77;1.5; - ;-;50;30;30;30;100;50;150; -   
Sullens;2021;2026;64; - ;64;1;0.5;-;50;50;50;100;100;-;50; -   
Villars-le-Terroir;2025;2026;76; - ;76;1;0.5;10;50;10;10;100;100;50;130; -   
Vuarrens;2025;2026;73.5; -   ;73.5;0.8; - ; - ;50;30;30;100;100;50;100; -   
Vufflens-la-Ville;2025;2026;63;2;65;1.2;0.5;-;50;50;50;100;100;50;0.80p/Fr;10
;;;;;;;;;;;;;;;;
DISTRICT DU JURA-NORD VAUDOIS;;;;;;;;;;;;;;;;
Agiez;2021;2026;76; - ;76;0.5;0.5;-;50;30;30;80;100;50;0.80p/Fr; -   
Arnex-sur-Orbe;2025;2026;71; -   ;71;0.8; - ; - ;50;100;100;100;100; - ;70; -   
Ballaigues;2025;2026;65; - ;65;1;0.5;-;50;50;50;100;100;-;50; -   
Baulmes;2025;2026;76.5; - ;76.5;1; - ;-;50;100;100;100;100;-;50; -   
Bavois;2025;2026;72; - ;72;1.2;0.5;-;50;100;50;100;100;50;90;10
Belmont-sur-Yverdon;2025;2026;70; - ;70;1; - ;-;50;50;50;100;100;-;60; -   
Bioley-Magnoux;2025;2026;72; -   ;72;0.7; - ; - ;50;50;30;100;100; - ;80; 20 cts 
Bofflens;2025;2026;69; - ;69;1; - ;-;50;40;40;70;100;-;40; -   
Bonvillars;2025;2026;67; -   ;67;1; - ; - ;50; - ; - ;60;100;40;100; -   
Bretonnières;2024;2026;69; -   ;69;0.6;0.5;10;50; - ; - ;80;100; - ;50; -   
Bullet;2025;2026;75; - ;75;1;0.5;-;50;80;80;90;100;50;1.0p/Fr;10
